split,test_size,model,target,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_seeds,train_samples,test_samples
70/30,0.3,Logistic Regression,MDR_FLAG,0.9648648648648649,0.011624763874381935,0.9515336309957789,0.02351769941254758,0.9000374953130859,0.02830968147933078,0.9233214534508207,0.025675868566176145,5,343,148
70/30,0.3,Random Forest,MDR_FLAG,0.9743243243243244,0.006620242548062631,0.9721469502719502,0.011217730052956891,0.9214473190851145,0.0267339215827378,0.9439432360583041,0.015945975412423936,5,343,148
70/30,0.3,KNN,MDR_FLAG,0.9635135135135136,0.0132404850961253,0.9657528386659353,0.020434727164261136,0.8833520809898763,0.04773057628423203,0.9165517560340897,0.03363157442438983,5,343,148
80/20,0.2,Logistic Regression,MDR_FLAG,0.9777777777777776,0.01484539238050412,0.9687715738433933,0.031235718364654184,0.9393277310924368,0.03807251340664386,0.9524732443902078,0.03143439268438733,5,392,99
80/20,0.2,Random Forest,MDR_FLAG,0.9878787878787879,0.009896928253669416,0.9931034482758619,0.005631010902949828,0.9571428571428571,0.03499271061118824,0.9734347048300538,0.02169047267759701,5,392,99
80/20,0.2,KNN,MDR_FLAG,0.9797979797979798,0.01277687943502375,0.9698884642489294,0.019421847460844865,0.9464705882352942,0.04275783518208531,0.95649490996331,0.028058029707518462,5,392,99
90/10,0.1,Logistic Regression,MDR_FLAG,0.992,0.009797958971132722,0.9852272727272726,0.0242660869364348,0.9833887043189369,0.027776152778841823,0.9833151297654341,0.02049561723077009,5,441,50
90/10,0.1,Random Forest,MDR_FLAG,0.9960000000000001,0.008000000000000007,0.9977272727272727,0.004545454545454541,0.9857142857142858,0.02857142857142856,0.991158267020336,0.017683465959327994,5,441,50
90/10,0.1,KNN,MDR_FLAG,0.9800000000000001,0.012649110640673528,0.9663432497734824,0.03286033745673222,0.9524916943521594,0.03450354454476336,0.9578621011047069,0.02633267226358778,5,441,50
