,AM,AMC,AN,C,CF,CFO,CFT,CN,CPD,CPT,CTX,CZA,DO,ENR,FT,GM,IPM,MRB,N,PRA,SXT,TE
AM,1.0,0.37947400317504654,0.0,0.13287869054595558,0.35518899444901736,0.0,0.11060304193775959,0.17964990393080035,0.0,0.0,0.0,0.0,0.11751525934475032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23952936456021742,0.13102799145129612
AMC,0.37947400317504654,1.0,0.0,0.0,0.0,0.06000257557987639,0.0,0.0,0.0,0.0,0.0,0.0,0.11650933179946728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15356852552751157
AN,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.13287869054595558,0.0,0.0,1.0,0.061517610811948294,0.0,0.27846380754027794,0.09246028931306631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6207389340780467,0.0
CF,0.35518899444901736,0.0,0.0,0.061517610811948294,1.0,0.0,0.11819461724533795,0.0,0.0,0.0,0.0,0.0,0.06243837563150687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022936197133493992,0.14011759963172202
CFO,0.0,0.06000257557987639,0.0,0.0,0.0,1.0,0.454276059854266,0.0,0.0,0.0,0.0,0.0,0.10343182975345785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22442180102779122,0.06016755131081623
CFT,0.11060304193775959,0.0,0.0,0.27846380754027794,0.11819461724533795,0.454276059854266,1.0,0.0,0.0,0.0,0.0,0.0,0.22336487816056355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3860441210773668,0.20076598301320714
CN,0.17964990393080035,0.0,0.0,0.09246028931306631,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.030169057537447013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08540724065307623,0.025052619652399515
CPD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DO,0.11751525934475032,0.11650933179946728,0.0,0.0,0.06243837563150687,0.10343182975345785,0.22336487816056355,0.030169057537447013,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5593176134753115,0.8064328702772717
ENR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04899205448288705
GM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
IPM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MRB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SXT,0.23952936456021742,0.0,0.0,0.6207389340780467,0.022936197133493992,0.22442180102779122,0.3860441210773668,0.08540724065307623,0.0,0.0,0.0,0.0,0.5593176134753115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.47012415564459636
TE,0.13102799145129612,0.15356852552751157,0.0,0.0,0.14011759963172202,0.06016755131081623,0.20076598301320714,0.025052619652399515,0.0,0.0,0.0,0.0,0.8064328702772717,0.0,0.04899205448288705,0.0,0.0,0.0,0.0,0.0,0.47012415564459636,1.0
